Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
EPI_ISL_13432610	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.91%, 99.69%, 99.64%, 99.64%, 99.53%, 99.65%, 99.80%, 100.00%	2, 7, 3, 5, 10, 6, 3, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-16
EPI_ISL_13432612	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.87%, 99.69%, 99.64%, 99.64%, 99.53%, 99.71%, 99.87%, 100.00%	3, 7, 3, 5, 10, 5, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-50
EPI_ISL_18132816	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.91%, 99.69%, 99.64%, 99.64%, 99.53%, 99.71%, 99.87%, 100.00%	2, 7, 3, 5, 10, 5, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_18132883	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.91%, 99.69%, 99.64%, 99.57%, 99.53%, 99.71%, 99.87%, 100.00%	2, 7, 3, 6, 10, 5, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-51
EPI_ISL_18132874	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.91%, 99.69%, 99.64%, 99.64%, 99.53%, 99.71%, 99.87%, 100.00%	2, 7, 3, 5, 10, 5, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_18132859	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.91%, 99.69%, 99.64%, 99.64%, 99.53%, 99.71%, 99.80%, 100.00%	2, 7, 3, 5, 10, 5, 3, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_18132835	B3.1	PB2:am2.1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.91%, 99.96%, 99.88%, 99.57%, 99.91%, 99.82%, 99.93%, 99.80%	2, 1, 1, 6, 2, 3, 1, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_17885964	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.30%, 98.99%, 99.28%, 99.36%, 99.72%, 99.30%, 99.20%, 99.39%	16, 23, 6, 9, 6, 12, 12, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-09-52
EPI_ISL_17885962	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.03%, 99.40%, 99.29%, 99.58%, 99.24%, 99.33%, 99.19%	15, 22, 5, 10, 9, 13, 10, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
EPI_ISL_11897689	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.91%, 99.91%, 99.64%, 99.86%, 99.81%, 99.77%, 99.73%, 100.00%	2, 2, 3, 2, 4, 4, 4, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
EPI_ISL_11971467	B3.1	PB2:am2.1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.96%, 99.96%, 100.00%, 99.79%, 99.91%, 99.82%, 99.93%, 99.80%	1, 1, 0, 3, 2, 3, 1, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-53
EPI_ISL_11971482	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.83%, 99.78%, 100.00%, 99.93%, 99.95%, 99.77%, 100.00%, 99.90%	4, 5, 0, 1, 1, 4, 0, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-54
EPI_ISL_12690325	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.87%, 99.91%, 99.88%, 99.86%, 99.77%, 99.94%, 100.00%, 100.00%	3, 2, 1, 2, 5, 1, 0, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-54
EPI_ISL_12691030	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.78%, 99.91%, 99.76%, 99.79%, 99.91%, 99.94%, 99.93%, 99.90%	5, 2, 2, 3, 2, 1, 1, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-54
EPI_ISL_13009652	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.74%, 99.78%, 99.88%, 99.86%, 99.77%, 99.47%, 99.60%, 99.80%	6, 5, 1, 2, 5, 9, 6, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-55
EPI_ISL_13052424	B3.1	PB2:am2.1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.91%, 99.91%, 100.00%, 99.72%, 99.95%, 99.71%, 99.93%, 99.90%	2, 2, 0, 4, 1, 5, 1, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-55
EPI_ISL_13433435	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.87%, 99.78%, 99.64%, 99.93%, 99.91%, 99.82%, 100.00%, 99.90%	3, 5, 3, 1, 2, 3, 0, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-55
EPI_ISL_13433447	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.87%, 99.78%, 99.64%, 99.93%, 99.91%, 99.82%, 100.00%, 99.90%	3, 5, 3, 1, 2, 3, 0, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-56
EPI_ISL_16171512	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.83%, 99.96%, 99.88%, 99.79%, 99.86%, 99.88%, 100.00%, 100.00%	4, 1, 1, 3, 3, 2, 0, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-56
EPI_ISL_18132770	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.83%, 99.87%, 99.88%, 99.93%, 99.91%, 99.88%, 99.80%, 99.80%	4, 3, 1, 1, 2, 2, 3, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-56
EPI_ISL_18132766	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.69%, 99.87%, 99.88%, 99.93%, 99.91%, 99.82%, 99.87%, 99.80%	7, 3, 1, 1, 2, 3, 2, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-56
EPI_ISL_18132754	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.74%, 99.74%, 99.64%, 99.93%, 99.91%, 99.88%, 99.87%, 99.80%	6, 6, 3, 1, 2, 2, 2, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-57
EPI_ISL_18132746	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.96%, 99.87%, 99.88%, 99.72%, 99.91%, 99.88%, 100.00%, 99.90%	1, 3, 1, 4, 2, 2, 0, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-57
EPI_ISL_18132782	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.78%, 99.91%, 99.76%, 99.79%, 99.91%, 99.94%, 99.93%, 99.90%	5, 2, 2, 3, 2, 1, 1, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_18132785	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.83%, 99.91%, 99.76%, 99.79%, 99.91%, 99.88%, 99.93%, 99.80%	4, 2, 2, 3, 2, 2, 1, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_18132857	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.74%, 99.78%, 99.88%, 99.86%, 99.77%, 99.47%, 99.60%, 99.80%	6, 5, 1, 2, 5, 9, 6, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_18132845	B3.1	PB2:am2.1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.91%, 99.91%, 100.00%, 99.72%, 99.95%, 99.71%, 99.93%, 99.90%	2, 2, 0, 4, 1, 5, 1, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_18132827	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.91%, 99.87%, 99.88%, 99.86%, 99.86%, 99.82%, 99.80%, 99.90%	2, 3, 1, 2, 3, 3, 3, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-09-58
EPI_ISL_18132805	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.91%, 99.91%, 99.88%, 99.79%, 99.95%, 99.82%, 99.87%, 100.00%	2, 2, 1, 3, 1, 3, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-09-59
EPI_ISL_19660828	B2.2	PB2:am1.2, PB1:ea1, NS:am1.2, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, am1.2:22-010668-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.65%, 99.78%, 99.52%, 99.50%, 99.91%, 99.82%, 99.60%, 99.80%	8, 5, 4, 7, 2, 3, 6, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-59
EPI_ISL_19660843	B2.2	PB2:am1.2, PB1:ea1, NS:am1.2, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, am1.2:22-010668-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.65%, 99.78%, 99.52%, 99.43%, 99.91%, 99.77%, 99.60%, 99.80%	8, 5, 4, 8, 2, 4, 6, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-09-59
EPI_ISL_18760063	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.12%, 99.30%, 99.40%, 99.36%, 99.44%, 97.86%, 98.93%, 99.39%	20, 16, 5, 9, 12, 38, 16, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-00
EPI_ISL_19410284	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.12%, 99.30%, 99.40%, 99.29%, 99.44%, 97.86%, 98.93%, 99.39%	20, 16, 5, 10, 12, 38, 16, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-00
EPI_ISL_19410285	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.17%, 99.30%, 99.40%, 99.36%, 99.44%, 97.80%, 98.93%, 99.39%	19, 16, 5, 9, 12, 39, 16, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-00
EPI_ISL_19410286	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.17%, 99.30%, 99.40%, 99.36%, 99.44%, 97.86%, 98.93%, 99.29%	19, 16, 5, 9, 12, 38, 16, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-01
EPI_ISL_19404902	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.12%, 99.25%, 99.05%, 99.22%, 99.35%, 97.75%, 99.06%, 99.29%	20, 17, 8, 11, 14, 40, 14, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-01
EPI_ISL_19560327	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.3, MP:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:MP	99.83%, 99.91%, 99.76%, 99.57%, 99.91%, 99.71%, 100.00%, 99.90%	4, 2, 2, 6, 2, 5, 0, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-01
EPI_ISL_16171460	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.69%, 99.74%, 99.88%, 99.79%, 99.86%, 99.82%, 99.87%, 99.80%	7, 6, 1, 3, 3, 3, 2, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_16171506	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.69%, 99.69%, 99.88%, 99.79%, 99.86%, 99.82%, 99.80%, 99.80%	7, 7, 1, 3, 3, 3, 3, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_16240162	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.69%, 99.74%, 99.88%, 99.64%, 99.86%, 99.82%, 99.80%, 99.80%	7, 6, 1, 5, 3, 3, 3, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_16243221	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.69%, 99.69%, 99.88%, 99.64%, 99.86%, 99.82%, 99.80%, 99.80%	7, 7, 1, 5, 3, 3, 3, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_18132258	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.74%, 99.82%, 99.76%, 99.64%, 99.81%, 99.41%, 99.80%, 99.90%	6, 4, 2, 5, 4, 10, 3, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-03
EPI_ISL_19604851	A1	PB2:ea1, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:ea1, MP:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:MP	99.65%, 99.78%, 99.76%, 99.72%, 99.63%, 99.53%, 99.80%, 99.80%	8, 5, 2, 4, 8, 8, 3, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-03
EPI_ISL_19604848	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.87%, 99.96%, 99.88%, 99.86%, 99.86%, 99.88%, 99.80%, 99.90%	3, 1, 1, 2, 3, 2, 3, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-03
EPI_ISL_19604805	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.74%, 99.74%, 99.64%, 99.64%, 99.77%, 99.77%, 99.73%, 99.69%	6, 6, 3, 5, 5, 4, 4, 3	Ran on FASTA - No Coverage Report	2026-06-01_16-10-04
EPI_ISL_19604843	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.96%, 99.82%, 99.88%, 99.86%, 99.86%, 99.82%, 99.93%, 99.90%	1, 4, 1, 2, 3, 3, 1, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-04
